seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, batch_size: 32, learning_rate: 0.01, model: lenet, dataset: MNIST, distribution: iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.2, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [2], my_exp: True, show_3d: False, epochs: 500, predict_epochs: 5, predict_alpha: 0.8, num_clients: 10, num_adv: 3, attack: MyAttack, defense: TrimmedMean, attack_params: None, defense_params: {'beta': 0.1}, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:2, output: ./logs/FedSGD/MNIST_lenet/iid/MyAttack_TrimmedMean/500_10_3_0.01_2025-02-23_18:21:12.txt

Started on Sun Feb 23 18:21:12 2025
Generating new indices
Doing iid partition
iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1406	Train loss: 0.0720	Test Acc: 0.0435	Test loss: 3.1729
Epoch 1  	Train Acc: 0.0500	Train loss: 3.0846	Test Acc: 0.0865	Test loss: 7.8005
Epoch 2  	Train Acc: 0.1062	Train loss: 7.3369	Test Acc: 0.0903	Test loss: 39.5995
Epoch 3  	Train Acc: 0.1000	Train loss: 36.7939	Test Acc: 0.0927	Test loss: 56.7744
Epoch 4  	Train Acc: 0.0781	Train loss: 52.2254	Test Acc: 0.1113	Test loss: 133.4392
Epoch 5  	Train Acc: 0.1062	Train loss: 134.7607	Test Acc: 0.0969	Test loss: 3.1938
Epoch 6  	Train Acc: 0.0781	Train loss: 3.1696	Test Acc: 0.0982	Test loss: 0.5440
Epoch 7  	Train Acc: 0.1062	Train loss: 0.5415	Test Acc: 0.1135	Test loss: 0.7364
Epoch 8  	Train Acc: 0.0875	Train loss: 0.8019	Test Acc: 0.1135	Test loss: 0.8758
Epoch 9  	Train Acc: 0.1094	Train loss: 0.8118	Test Acc: 0.1008	Test loss: 0.8252
Epoch 10 	Train Acc: 0.1031	Train loss: 0.8285	Test Acc: 0.1008	Test loss: 0.4974
Epoch 11 	Train Acc: 0.1219	Train loss: 0.5038	Test Acc: 0.1010	Test loss: 0.2644
Epoch 12 	Train Acc: 0.0656	Train loss: 0.2894	Test Acc: 0.0982	Test loss: 0.2046
Epoch 13 	Train Acc: 0.0938	Train loss: 0.2105	Test Acc: 0.1135	Test loss: 0.2073
Epoch 14 	Train Acc: 0.1125	Train loss: 0.2077	Test Acc: 0.1135	Test loss: 0.6021
Epoch 15 	Train Acc: 0.1031	Train loss: 0.5950	Test Acc: 0.0982	Test loss: 0.2185
Epoch 16 	Train Acc: 0.1000	Train loss: 0.2250	Test Acc: 0.0982	Test loss: 0.6421
Epoch 17 	Train Acc: 0.1062	Train loss: 0.6836	Test Acc: 0.0982	Test loss: 1.2809
Epoch 18 	Train Acc: 0.1031	Train loss: 1.2278	Test Acc: 0.0982	Test loss: 0.9354
Epoch 19 	Train Acc: 0.0875	Train loss: 0.9221	Test Acc: 0.1010	Test loss: 0.5531
Epoch 20 	Train Acc: 0.1344	Train loss: 0.5629	Test Acc: 0.1010	Test loss: 0.3256
Epoch 21 	Train Acc: 0.1031	Train loss: 0.3275	Test Acc: 0.1010	Test loss: 0.2081
Epoch 22 	Train Acc: 0.1094	Train loss: 0.2005	Test Acc: 0.0958	Test loss: 0.1843
Epoch 23 	Train Acc: 0.1156	Train loss: 0.1840	Test Acc: 0.0958	Test loss: 0.1798
Epoch 24 	Train Acc: 0.0906	Train loss: 0.1756	Test Acc: 0.0958	Test loss: 0.1233
Epoch 25 	Train Acc: 0.0750	Train loss: 0.1247	Test Acc: 0.1032	Test loss: 0.0913
Epoch 26 	Train Acc: 0.0750	Train loss: 0.0925	Test Acc: 0.0974	Test loss: 0.0791
Epoch 27 	Train Acc: 0.1125	Train loss: 0.0787	Test Acc: 0.0974	Test loss: 0.0766
Epoch 28 	Train Acc: 0.1094	Train loss: 0.0752	Test Acc: 0.1010	Test loss: 0.0758
Epoch 29 	Train Acc: 0.1062	Train loss: 0.0754	Test Acc: 0.0982	Test loss: 0.0765
Epoch 30 	Train Acc: 0.0875	Train loss: 0.0771	Test Acc: 0.0982	Test loss: 0.0773
Epoch 31 	Train Acc: 0.0781	Train loss: 0.0773	Test Acc: 0.1010	Test loss: 0.0757
Epoch 32 	Train Acc: 0.0813	Train loss: 0.0766	Test Acc: 0.0892	Test loss: 0.0769
Epoch 33 	Train Acc: 0.0875	Train loss: 0.0766	Test Acc: 0.0892	Test loss: 0.0789
Epoch 34 	Train Acc: 0.0875	Train loss: 0.0796	Test Acc: 0.1010	Test loss: 0.0748
Epoch 35 	Train Acc: 0.0906	Train loss: 0.0751	Test Acc: 0.1010	Test loss: 0.0749
Epoch 36 	Train Acc: 0.1031	Train loss: 0.0754	Test Acc: 0.0974	Test loss: 0.0772
Epoch 37 	Train Acc: 0.0875	Train loss: 0.0769	Test Acc: 0.0974	Test loss: 0.0767
Epoch 38 	Train Acc: 0.1156	Train loss: 0.0751	Test Acc: 0.0974	Test loss: 0.0770
Epoch 39 	Train Acc: 0.1125	Train loss: 0.0759	Test Acc: 0.0974	Test loss: 0.0769
Epoch 40 	Train Acc: 0.1125	Train loss: 0.0753	Test Acc: 0.0958	Test loss: 0.0772
Epoch 41 	Train Acc: 0.0750	Train loss: 0.0778	Test Acc: 0.0958	Test loss: 0.0769
Epoch 42 	Train Acc: 0.1313	Train loss: 0.0760	Test Acc: 0.0974	Test loss: 0.0765
Epoch 43 	Train Acc: 0.1125	Train loss: 0.0761	Test Acc: 0.0974	Test loss: 0.0773
Epoch 44 	Train Acc: 0.1094	Train loss: 0.0777	Test Acc: 0.0974	Test loss: 0.0772
Epoch 45 	Train Acc: 0.1156	Train loss: 0.0755	Test Acc: 0.0974	Test loss: 0.0772
Epoch 46 	Train Acc: 0.0656	Train loss: 0.0783	Test Acc: 0.0974	Test loss: 0.0771
Epoch 47 	Train Acc: 0.0938	Train loss: 0.0771	Test Acc: 0.0974	Test loss: 0.0773
Epoch 48 	Train Acc: 0.0938	Train loss: 0.0766	Test Acc: 0.0974	Test loss: 0.0770
Epoch 49 	Train Acc: 0.1281	Train loss: 0.0762	Test Acc: 0.0974	Test loss: 0.0769
Epoch 50 	Train Acc: 0.0844	Train loss: 0.0767	Test Acc: 0.0974	Test loss: 0.0768
Epoch 51 	Train Acc: 0.0813	Train loss: 0.0768	Test Acc: 0.0974	Test loss: 0.0768
Epoch 52 	Train Acc: 0.1125	Train loss: 0.0764	Test Acc: 0.0974	Test loss: 0.0767
Epoch 53 	Train Acc: 0.0906	Train loss: 0.0781	Test Acc: 0.0974	Test loss: 0.0767
Epoch 54 	Train Acc: 0.1031	Train loss: 0.0756	Test Acc: 0.0974	Test loss: 0.0766
Epoch 55 	Train Acc: 0.0969	Train loss: 0.0769	Test Acc: 0.0974	Test loss: 0.0765
Epoch 56 	Train Acc: 0.0875	Train loss: 0.0783	Test Acc: 0.0974	Test loss: 0.0765
Epoch 57 	Train Acc: 0.1187	Train loss: 0.0753	Test Acc: 0.0974	Test loss: 0.0764
Epoch 58 	Train Acc: 0.0688	Train loss: 0.0754	Test Acc: 0.0974	Test loss: 0.0764
