seed: 4, algorithm: FedSGD, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, lr_scheduler: MultiStepLR, milestones: [0.6, 0.8], batch_size: 128, learning_rate: 0.05, model: mycnn, dataset: CIFAR10, distribution: non-iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.8, cache_partition: False, num_workers: 0, record_time: False, gpu_idx: [1], my_exp: True, epochs: 200, predict_epochs: 5, predict_alpha: 0.8, hyper_e: 50, show_sign_flip: False, other_show_3d: False, only_show_last_epoch: True, npy_file_name: 3.3.2noiid, npy_prefix: None, num_clients: 20, num_adv: 4, attack: IPM, defense: CenteredClipping, attack_params: {'scaling_factor': 0.5}, defense_params: {'norm_threshold': 100, 'num_iters': 1}, benchmark: False, num_training_sample: 50000, num_channels: 3, num_classes: 10, mean: (0.4914, 0.4822, 0.4465), std: (0.247, 0.243, 0.261), device: cuda:1, output: ./logs/FedSGD/CIFAR10_mycnn/non-iid/IPM_CenteredClipping/200_20_4_0.05_2025-03-20_10-39-03.txt

Started on Thu Mar 20 10:39:03 2025
Generating new indices
Doing non-iid partition
dirichlet alpha: 0.8
non-iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 0  	Train Acc: 0.1133	Train loss: 0.0181	Test Acc: 0.1362	Test loss: 0.0182
Epoch 1  	Train Acc: 0.1395	Train loss: 0.0177	Test Acc: 0.1059	Test loss: 0.0181
Epoch 2  	Train Acc: 0.1840	Train loss: 0.0174	Test Acc: 0.1425	Test loss: 0.0181
Epoch 3  	Train Acc: 0.2555	Train loss: 0.0169	Test Acc: 0.2094	Test loss: 0.0180
Epoch 4  	Train Acc: 0.2844	Train loss: 0.0162	Test Acc: 0.2477	Test loss: 0.0179
Epoch 5  	Train Acc: 0.2910	Train loss: 0.0158	Test Acc: 0.3128	Test loss: 0.0178
Epoch 6  	Train Acc: 0.3258	Train loss: 0.0150	Test Acc: 0.3214	Test loss: 0.0176
Epoch 7  	Train Acc: 0.3172	Train loss: 0.0148	Test Acc: 0.3095	Test loss: 0.0173
Epoch 8  	Train Acc: 0.3453	Train loss: 0.0143	Test Acc: 0.2738	Test loss: 0.0171
Epoch 9  	Train Acc: 0.3383	Train loss: 0.0141	Test Acc: 0.2671	Test loss: 0.0169
Epoch 10 	Train Acc: 0.3730	Train loss: 0.0135	Test Acc: 0.2333	Test loss: 0.0168
Epoch 11 	Train Acc: 0.3824	Train loss: 0.0135	Test Acc: 0.2127	Test loss: 0.0167
Epoch 12 	Train Acc: 0.3797	Train loss: 0.0134	Test Acc: 0.2164	Test loss: 0.0166
Epoch 13 	Train Acc: 0.4007	Train loss: 0.0271	Test Acc: 0.2092	Test loss: 0.0166
Epoch 14 	Train Acc: 0.4117	Train loss: 0.0140	Test Acc: 0.2089	Test loss: 0.0169
Epoch 15 	Train Acc: 0.4189	Train loss: 0.0147	Test Acc: 0.1846	Test loss: 0.0172
Epoch 16 	Train Acc: 0.4333	Train loss: 0.0147	Test Acc: 0.2141	Test loss: 0.0169
Epoch 17 	Train Acc: 0.4374	Train loss: 0.0141	Test Acc: 0.2331	Test loss: 0.0165
Epoch 18 	Train Acc: 0.4602	Train loss: 0.0263	Test Acc: 0.2292	Test loss: 0.0167
Epoch 19 	Train Acc: 0.4477	Train loss: 0.0121	Test Acc: 0.1939	Test loss: 0.0163
Epoch 20 	Train Acc: 0.4579	Train loss: 0.0124	Test Acc: 0.2515	Test loss: 0.0161
Epoch 21 	Train Acc: 0.4434	Train loss: 0.0121	Test Acc: 0.2489	Test loss: 0.0157
Epoch 22 	Train Acc: 0.4707	Train loss: 0.0150	Test Acc: 0.3000	Test loss: 0.0149
Epoch 23 	Train Acc: 0.4906	Train loss: 0.0114	Test Acc: 0.2188	Test loss: 0.0155
Epoch 24 	Train Acc: 0.4758	Train loss: 0.0115	Test Acc: 0.2882	Test loss: 0.0152
